1,2,1
1,11,1
2,1,1
2,22,2
2,3,1
2,12,1
3,2,1
3,4,1
4,3,1
4,14,1
4,5,1
5,4,1
5,25,2
5,15,1
6,15,1
6,17,1
7,17,1
7,18,1
7,8,1
8,7,1
8,19,2
8,9,1
9,8,1
9,19,1
9,10,1
9,20,1
10,9,1
10,19,2
10,20,1
11,1,1
11,22,1
11,21,1
12,2,1
12,13,1
12,23,1
13,12,1
13,24,1
13,14,1
14,13,1
14,25,1
14,4,1
15,5,1
15,25,1
15,16,1
15,6,1
16,15,1
16,27,1
16,26,1
16,17,1
17,6,1
17,16,1
17,40,2
17,18,1
17,7,1
18,17,1
18,27,1
18,28,1
18,7,1
19,8,2
19,28,1
19,28,2
19,29,1
19,10,2
19,9,1
20,9,1
20,29,1
20,30,1
20,10,1
21,11,1
21,22,1
21,43,1
22,21,1
22,11,1
22,2,2
22,23,1
22,45,1
22,25,2
22,56,2
22,44,1
22,185,3
22,43,2
22,62,3
23,22,1
23,12,1
23,24,1
23,46,1
24,23,1
24,13,1
24,25,1
25,24,1
25,14,1
25,5,2
25,15,1
25,60,3
25,26,1
25,40,2
25,49,2
25,56,3
25,38,1
25,22,2
26,25,1
26,16,1
26,40,1
27,16,1
27,18,1
27,34,1
28,34,1
28,18,1
28,19,1
28,19,2
28,35,1
28,51,2
28,34,1
29,19,1
29,20,1
29,32,1
30,20,1
30,33,1
30,37,2
30,32,1
31,32,1
31,35,1
32,31,1
32,29,1
32,30,1
32,36,1
32,41,1
32,53,2
33,30,1
33,37,1
33,42,1
34,27,1
34,28,1
34,51,1
35,28,1
35,31,1
35,41,1
35,52,1
36,32,1
36,37,1
36,41,1
37,36,1
37,30,2
37,33,1
37,62,2
37,54,1
37,53,2
38,25,1
38,39,1
38,49,1
38,47,1
39,38,1
39,40,1
39,50,1
40,39,1
40,25,2
40,26,1
40,17,2
40,51,1
40,51,2
40,50,1
40,49,2
41,35,1
41,32,1
41,36,1
41,53,1
42,33,1
42,54,1
42,62,1
43,21,1
43,22,2
43,55,1
44,22,1
44,45,1
44,64,1
44,55,1
45,22,1
45,46,1
45,44,1
46,45,1
46,23,1
46,47,1
46,56,1
47,46,1
47,38,1
47,48,1
47,56,1
48,47,1
48,57,1
48,49,1
49,48,1
49,38,1
49,25,2
49,40,2
49,50,1
49,70,2
49,58,1
49,56,2
50,49,1
50,39,1
50,40,1
50,59,1
51,40,1
51,40,2
51,34,1
51,28,2
51,52,1
51,52,2
51,70,2
51,59,1
52,51,1
52,51,2
52,35,1
52,53,2
52,53,1
52,68,1
52,70,2
53,52,1
53,52,1
53,52,2
53,32,2
53,41,1
53,37,2
53,54,1
53,60,1
53,60,2
53,69,1
54,53,1
54,37,1
54,42,1
54,62,1
54,61,1
55,43,1
55,44,1
55,56,2
55,63,1
56,55,2
56,22,2
56,46,1
56,25,3
56,47,1
56,49,2
56,64,1
56,80,2
56,71,1
56,70,3
56,100,3
57,48,1
57,65,1
57,71,1
58,49,1
58,67,1
58,65,1
59,50,1
59,51,1
59,68,1
59,67,1
60,25,3
60,53,1
60,53,2
60,61,1
60,62,3
61,60,1
61,54,1
62,54,1
62,37,2
62,42,1
62,22,3
62,95,3
62,60,3
63,55,1
63,64,1
63,179,1
64,63,1
64,44,1
64,56,1
65,71,1
65,57,1
65,58,1
65,66,1
65,72,1
66,65,1
66,67,1
66,72,1
67,66,1
67,58,1
67,59,1
67,70,1
68,59,1
68,52,1
68,69,1
68,74,1
68,73,1
69,68,1
69,53,1
69,75,1
69,74,1
70,67,1
70,56,3
70,51,2
70,52,2
70,73,1
70,79,2
70,95,3
70,76,1
70,49,2
